 fecha ,      ipc
03/12/1999,6470.41
06/12/1999,6425.7
07/12/1999,6397.84
08/12/1999,6665.03
09/12/1999,6718.33
10/12/1999,6781.39
13/12/1999,6725.55
14/12/1999,6654.22
15/12/1999,6772.15
16/12/1999,6859.03
17/12/1999,6959.35
20/12/1999,6943.1
21/12/1999,6976.75
22/12/1999,6835.28
23/12/1999,6933.78
24/12/1999,6925.76
27/12/1999,6986.38
28/12/1999,7007.75
29/12/1999,7121.79
30/12/1999,7129.88
03/01/2000,7077.71
04/01/2000,6675.27
05/01/2000,6764.31
06/01/2000,6751.65
07/01/2000,7047.09
10/01/2000,7333.7
11/01/2000,7143.13
12/01/2000,7174.1
13/01/2000,7274.52
14/01/2000,7381.49
17/01/2000,7447.12
18/01/2000,7303.32
19/01/2000,7171.2
20/01/2000,7036.79
21/01/2000,6890.78
24/01/2000,6855.35
25/01/2000,6885.88
26/01/2000,6918.94
27/01/2000,6854.39
28/01/2000,6648.48
31/01/2000,6585.67
01/02/2000,6740.52
02/02/2000,6769.81
03/02/2000,7043.1
04/02/2000,7236.54
07/02/2000,7592.57
08/02/2000,7583.51
09/02/2000,7469.16
10/02/2000,7723.86
11/02/2000,7623.47
14/02/2000,7558.23
15/02/2000,7574.64
16/02/2000,7600.72
17/02/2000,7538.19
18/02/2000,7345.57
21/02/2000,7314.97
22/02/2000,7234.76
23/02/2000,7462.12
24/02/2000,7410.82
25/02/2000,7304.35
28/02/2000,7336.65
29/02/2000,7368.55
01/03/2000,7614.83
02/03/2000,8007.76
03/03/2000,8131.27
06/03/2000,7964.87
07/03/2000,8005.95
08/03/2000,8295.2
09/03/2000,8319.67
10/03/2000,8177.42
13/03/2000,8003.72
14/03/2000,7835.63
15/03/2000,7987.85
16/03/2000,7982.42
17/03/2000,7985.34
20/03/2000,7906.39
22/03/2000,7782.61
23/03/2000,7943.51
24/03/2000,8093.58
27/03/2000,8139.5
28/03/2000,7952.2
29/03/2000,7885.23
30/03/2000,7604.49
31/03/2000,7473.25
03/04/2000,7378.82
04/04/2000,7194.83
05/04/2000,7272.84
06/04/2000,7462.93
07/04/2000,7540.09
10/04/2000,7375.54
11/04/2000,7234.71
12/04/2000,7016.69
13/04/2000,6860.26
14/04/2000,6315.91
17/04/2000,6308.26
18/04/2000,6684
19/04/2000,6446.58
24/04/2000,6444.13
25/04/2000,6756.95
26/04/2000,6751.07
27/04/2000,6844.78
28/04/2000,6640.68
02/05/2000,6612.5
03/05/2000,6415.51
04/05/2000,6504.42
08/05/2000,6324.42
09/05/2000,6196.09
10/05/2000,6083.98
11/05/2000,6104.83
12/05/2000,6255.35
15/05/2000,6343.29
16/05/2000,6366.69
17/05/2000,6189.09
18/05/2000,6113.05
19/05/2000,5863.68
22/05/2000,5656.45
23/05/2000,5593.58
24/05/2000,5800.03
25/05/2000,5664.25
26/05/2000,5652.29
29/05/2000,5728
30/05/2000,5998.48
31/05/2000,5961.14
01/06/2000,6178.06
02/06/2000,6627.34
05/06/2000,6554.89
06/06/2000,6250.69
07/06/2000,6238.41
08/06/2000,6364.91
09/06/2000,6398.73
12/06/2000,6405
13/06/2000,6539.2
14/06/2000,6667.2
15/06/2000,6563.61
16/06/2000,6452.9
19/06/2000,6551.25
20/06/2000,6521.22
21/06/2000,6687
22/06/2000,6570.67
23/06/2000,6425.57
26/06/2000,6599.34
27/06/2000,6747.32
28/06/2000,6676.64
29/06/2000,6834.08
30/06/2000,6948.33
03/07/2000,7373.37
04/07/2000,7520.04
05/07/2000,7372.59
06/07/2000,7306.14
07/07/2000,7370.38
10/07/2000,7398.7
11/07/2000,7266
12/07/2000,7416.34
13/07/2000,7428.13
14/07/2000,7435.99
17/07/2000,7291.74
18/07/2000,7216.58
19/07/2000,6863.27
20/07/2000,6765.28
21/07/2000,6718.73
24/07/2000,6658.17
25/07/2000,6715.6
26/07/2000,6748.48
27/07/2000,6607.49
28/07/2000,6344.03
31/07/2000,6514.21
01/08/2000,6507.77
02/08/2000,6543.93
03/08/2000,6509.17
04/08/2000,6582.67
07/08/2000,6635
08/08/2000,6669.85
09/08/2000,6519
10/08/2000,6474.81
11/08/2000,6501.3
14/08/2000,6506.32
15/08/2000,6501.67
16/08/2000,6477.98
17/08/2000,6536.87
18/08/2000,6386.66
21/08/2000,6345.13
22/08/2000,6341.3
23/08/2000,6367
24/08/2000,6293.55
25/08/2000,6181.15
28/08/2000,6226.37
29/08/2000,6331.28
30/08/2000,6572.91
31/08/2000,6664.82
01/09/2000,6722.41
04/09/2000,6775.97
05/09/2000,6824.97
06/09/2000,6789.73
07/09/2000,6953.31
08/09/2000,6903.48
11/09/2000,6801.4
12/09/2000,6702.26
13/09/2000,6833.04
14/09/2000,6878.89
15/09/2000,6835.43
18/09/2000,6599.01
19/09/2000,6634.53
20/09/2000,6752.47
21/09/2000,6558.9
22/09/2000,6549.62
25/09/2000,6533.58
26/09/2000,6459.15
27/09/2000,6368.54
28/09/2000,6475.46
29/09/2000,6334.56
02/10/2000,6244.65
03/10/2000,6230.89
04/10/2000,6345.53
05/10/2000,6368.67
06/10/2000,6166.88
09/10/2000,6141.53
10/10/2000,6095.49
11/10/2000,5946.93
12/10/2000,5751.66
13/10/2000,5853.95
16/10/2000,5789.03
17/10/2000,5709.67
18/10/2000,5769.02
19/10/2000,5991.25
20/10/2000,5943.33
23/10/2000,5908.29
24/10/2000,6081.66
25/10/2000,6003.68
26/10/2000,6123.51
27/10/2000,6206.37
30/10/2000,6282.58
31/10/2000,6394.24
01/11/2000,6409.04
03/11/2000,6319.58
06/11/2000,6359.91
07/11/2000,6478.64
08/11/2000,6376.75
09/11/2000,6216.46
10/11/2000,6107.75
13/11/2000,5914.84
14/11/2000,6075.2
15/11/2000,6153.33
16/11/2000,6146.1
17/11/2000,6303.47
21/11/2000,6135.45
22/11/2000,5923.92
23/11/2000,5998.14
24/11/2000,6062.74
27/11/2000,6032.27
28/11/2000,5934.93
29/11/2000,5907.24
30/11/2000,5652.63
04/12/2000,5532.64
05/12/2000,5793.77
06/12/2000,5787.35
07/12/2000,5785.36
08/12/2000,5795.09
11/12/2000,5828.12
13/12/2000,5699.76
14/12/2000,5645.59
15/12/2000,5531.39
18/12/2000,5547.17
19/12/2000,5506.55
20/12/2000,5231.85
21/12/2000,5342.31
22/12/2000,5492.31
26/12/2000,5499.4
27/12/2000,5568.27
28/12/2000,5591.99
29/12/2000,5652.19
02/01/2001,5556.71
03/01/2001,5857.45
04/01/2001,6048.34
05/01/2001,5924.33
08/01/2001,5916.06
09/01/2001,5909.53
10/01/2001,5814.98
11/01/2001,5966.8
12/01/2001,5966.6
15/01/2001,5998.02
16/01/2001,6002.65
17/01/2001,6078.25
18/01/2001,6194.3
19/01/2001,6267.49
22/01/2001,6271.07
23/01/2001,6377.94
24/01/2001,6311.85
25/01/2001,6281
26/01/2001,6418.64
29/01/2001,6419.78
30/01/2001,6518.58
31/01/2001,6496.89
01/02/2001,6540.88
02/02/2001,6522.23
06/02/2001,6447.1
07/02/2001,6350.35
08/02/2001,6330.97
09/02/2001,6344.16
12/02/2001,6430.73
13/02/2001,6361.32
14/02/2001,6360.09
15/02/2001,6395.19
16/02/2001,6368.49
19/02/2001,6369.51
20/02/2001,6246.36
21/02/2001,6007.67
22/02/2001,6030.76
23/02/2001,5998.69
26/02/2001,6058.02
27/02/2001,6065.15
28/02/2001,6032.1
01/03/2001,6080.65
02/03/2001,6133.34
05/03/2001,6110.14
06/03/2001,6252.95
07/03/2001,6331.32
08/03/2001,6361.07
09/03/2001,6270.96
12/03/2001,5963.37
13/03/2001,5991.95
14/03/2001,5813.84
15/03/2001,5792.71
16/03/2001,5878.57
19/03/2001,5935.22
20/03/2001,5769.67
22/03/2001,5636.48
23/03/2001,5618.67
26/03/2001,5647.18
27/03/2001,5787.48
28/03/2001,5700.37
29/03/2001,5648.62
30/03/2001,5727.89
02/04/2001,5694.07
03/04/2001,5575.05
04/04/2001,5573.72
05/04/2001,5699.34
06/04/2001,5695.26
09/04/2001,5756.36
10/04/2001,5968.66
11/04/2001,5999.38
16/04/2001,5951.7
17/04/2001,6068.9
18/04/2001,6143.86
19/04/2001,6029.06
20/04/2001,5950.79
23/04/2001,5885.6
24/04/2001,5887.04
25/04/2001,5933.71
26/04/2001,6007.1
27/04/2001,6008.03
30/04/2001,5987.25
02/05/2001,6109.2
03/05/2001,6139.62
04/05/2001,6129.51
07/05/2001,6065.58
08/05/2001,6010.52
09/05/2001,6106.42
10/05/2001,6092.07
11/05/2001,6110.36
14/05/2001,6042.03
15/05/2001,5987
16/05/2001,6033.97
17/05/2001,6392.77
18/05/2001,6527.6
21/05/2001,6571.08
22/05/2001,6651.27
23/05/2001,6782.51
24/05/2001,6714.47
25/05/2001,6711.34
28/05/2001,6700.33
29/05/2001,6665.54
30/05/2001,6586.93
31/05/2001,6595.39
01/06/2001,6619.66
04/06/2001,6631.75
05/06/2001,6672.35
06/06/2001,6790.98
07/06/2001,6840.63
08/06/2001,6783.72
11/06/2001,6731.29
12/06/2001,6796.82
13/06/2001,6802.37
14/06/2001,6749.8
15/06/2001,6670.72
18/06/2001,6489.56
19/06/2001,6359.06
20/06/2001,6455.15
21/06/2001,6543.39
22/06/2001,6539.65
25/06/2001,6562.66
26/06/2001,6582.17
27/06/2001,6587.68
28/06/2001,6607.2
29/06/2001,6666.17
02/07/2001,6797.11
03/07/2001,6840.74
04/07/2001,6868.89
05/07/2001,6814.62
06/07/2001,6715.81
09/07/2001,6709.13
10/07/2001,6713.04
11/07/2001,6564.14
12/07/2001,6470.88
13/07/2001,6452.12
16/07/2001,6377.31
17/07/2001,6395.43
18/07/2001,6388.26
19/07/2001,6418.84
20/07/2001,6389.27
23/07/2001,6422.71
24/07/2001,6377.81
25/07/2001,6411.53
26/07/2001,6502.69
27/07/2001,6522.2
30/07/2001,6538.28
31/07/2001,6474.4
01/08/2001,6573.1
02/08/2001,6707.91
03/08/2001,6702.93
06/08/2001,6633.94
07/08/2001,6638.84
08/08/2001,6651.44
